dimension,segment,contacts,conversions,conversion_rate_pct
age_band,65+,662,313.0,47.3
age_band,<25,1067,256.0,24.0
age_band,55-64,3566,484.0,13.6
age_band,25-34,13684,1666.0,12.2
age_band,35-44,13495,1168.0,8.7
age_band,45-54,8702,752.0,8.6
education,unknown,1730,251.0,14.5
education,university,12164,1669.0,13.7
education,professional,5240,595.0,11.4
education,high_school,9512,1031.0,10.8
education,basic,12530,1093.0,8.7
job,student,875,275.0,31.4
job,retired,1718,434.0,25.3
job,unemployed,1014,144.0,14.2
job,admin.,10419,1351.0,13.0
job,management,2924,328.0,11.2
job,unknown,330,37.0,11.2
job,technician,6739,730.0,10.8
job,self-employed,1421,149.0,10.5
job,housemaid,1060,106.0,10.0
job,entrepreneur,1456,124.0,8.5
job,services,3967,323.0,8.1
job,blue-collar,9253,638.0,6.9
marital,unknown,80,12.0,15.0
marital,single,11564,1620.0,14.0
marital,divorced,4611,476.0,10.3
marital,married,24921,2531.0,10.2
